Subject,Accuracy
1,0.840625
2,0.5885416666666666
3,0.8892361111111111
4,0.6333333333333334
5,0.5659722222222222
6,0.49305555555555547
7,0.898263888888889
8,0.846875
9,0.8375
Subject,Accuracy
1,0.8520833333333334
2,0.5638888888888889
3,0.8996527777777776
4,0.6402777777777777
5,0.6500000000000001
6,0.4395833333333333
7,0.8506944444444446
8,0.8763888888888889
9,0.8163194444444445
Subject,Accuracy
1,0.7847222222222222
2,0.5277777777777778
3,0.8125
4,0.65625
5,0.5520833333333333
6,0.5347222222222222
7,0.8854166666666667
8,0.8055555555555556
9,0.7743055555555555
